"Country","Continent","Status","Life.expectancy","GDP","Schooling"
"Bahrain","Asia","Developing",76.9,22688.87824,14.5
"Bahrain","Asia","Developing",76.8,24983.3792,14.5
"Bahrain","Asia","Developing",76.7,251.18329,14.5
"Bahrain","Asia","Developing",76.5,23649.36661,14.5
"Bahrain","Asia","Developing",76.1,2281.1242,14.4
"Bahrain","Asia","Developing",76.1,2722.1389,14.4
"Bahrain","Asia","Developing",76,19356.67236,14.4
"Bahrain","Asia","Developing",75.8,2367.56535,14.4
"Bahrain","Asia","Developing",75.6,2977.1153,14.4
"Bahrain","Asia","Developing",75.5,1937.99549,14.2
"Bahrain","Asia","Developing",75.3,17959.17854,14
"Bahrain","Asia","Developing",75.2,15846.47641,13.9
"Bahrain","Asia","Developing",75,14221.99259,13.7
"Bahrain","Asia","Developing",74.9,1312.33457,13.5
"Bahrain","Asia","Developing",74.7,12868.211,13.3
"Bahrain","Asia","Developing",74.5,13636.34668,13.2
"Bangladesh","Asia","Developing",71.8,121.15812,10.2
"Bangladesh","Asia","Developing",71.4,184.56543,10
"Bangladesh","Asia","Developing",71,951.8894535,10
"Bangladesh","Asia","Developing",77,856.342857,9.9
"Bangladesh","Asia","Developing",73,835.789341,9.4
"Bangladesh","Asia","Developing",69.9,757.6717572,8.9
"Bangladesh","Asia","Developing",69.5,681.125368,8.4
"Bangladesh","Asia","Developing",69.1,615.7775411,8.6
"Bangladesh","Asia","Developing",68.6,541.651484,8.6
"Bangladesh","Asia","Developing",68.2,494.51466,8.4
"Bangladesh","Asia","Developing",67.8,484.155471,8.2
"Bangladesh","Asia","Developing",67.3,46.7579167,8.1
"Bangladesh","Asia","Developing",66.8,432.7388972,7.9
"Bangladesh","Asia","Developing",66.3,4.6135745,7.7
"Bangladesh","Asia","Developing",65.8,42.5981152,7.5
"Bangladesh","Asia","Developing",65.3,45.63371,7.3
"Barbados","Americas","Developing",75.5,15557.8381,15.3
"Barbados","Americas","Developing",75.4,15359.66971,15.3
"Barbados","Americas","Developing",75.2,15472.7814,15.3
"Barbados","Americas","Developing",75.1,15384.8749,15.3
"Barbados","Americas","Developing",74.9,15534.1574,15.5
"Barbados","Americas","Developing",74.7,1595.91232,15.8
"Barbados","Americas","Developing",74.6,16523.32388,15.5
"Barbados","Americas","Developing",74.4,1657.3228,15.3
"Barbados","Americas","Developing",74.2,16462.48556,15
"Barbados","Americas","Developing",74.1,15646.5591,14.8
"Barbados","Americas","Developing",73.9,14223.86576,14.6
"Barbados","Americas","Developing",73.8,12868.8639,14.4
"Barbados","Americas","Developing",73.7,1228.5447,14.2
"Barbados","Americas","Developing",73.5,11675.39395,14
"Barbados","Americas","Developing",73.4,11513.87189,14
"Barbados","Americas","Developing",73.3,11568.1111,14
"Belarus","Europe","Developing",72.3,5949.11677,15.6
"Belarus","Europe","Developing",72,8318.429294,15.7
"Belarus","Europe","Developing",71.7,7978.825443,15.7
"Belarus","Europe","Developing",71.9,694.243915,15.6
"Belarus","Europe","Developing",72,6519.71753,15.5
"Belarus","Europe","Developing",73,63.38877,15.5
"Belarus","Europe","Developing",70,5176.172649,15.4
"Belarus","Europe","Developing",70,6376.183153,15.1
"Belarus","Europe","Developing",69.8,4735.484827,14.9
"Belarus","Europe","Developing",68.9,3848.215966,14.6
"Belarus","Europe","Developing",68.1,3126.71767,14.4
"Belarus","Europe","Developing",68.2,2378.33927,14.1
"Belarus","Europe","Developing",67.7,1819.525644,13.9
"Belarus","Europe","Developing",67.2,1479.383142,13.6
"Belarus","Europe","Developing",67.7,1244.373185,13.3
"Belarus","Europe","Developing",68,1276.28834,13.1
"Belgium","Europe","Developed",81.1,4356.875,16.6
"Belgium","Europe","Developed",89,47439.39684,16.3
"Belgium","Europe","Developed",87,4651.38647,16.3
"Belgium","Europe","Developed",83,4474.5717,16.2
"Belgium","Europe","Developed",83,4772.77415,16.1
"Belgium","Europe","Developed",80,4438.23741,15.9
"Belgium","Europe","Developed",79.8,4488.5615,15.8
"Belgium","Europe","Developed",79.5,48424.58927,15.8
"Belgium","Europe","Developed",79.5,4443.83131,15.8
"Belgium","Europe","Developed",79.4,38852.3613,15.7
"Belgium","Europe","Developed",78.9,36967.28292,15.7
"Belgium","Europe","Developed",78.8,35589.71295,18.8
"Belgium","Europe","Developed",78.3,3743.95693,18.6
"Belgium","Europe","Developed",78,2552.3328,18.8
"Belgium","Europe","Developed",78,23121.56635,18.2
"Belgium","Europe","Developed",77.6,2327.4591,18
"Belize","Americas","Developing",71,4849.997495,12.8
"Belize","Americas","Developing",70,4852.223666,12.8
"Belize","Americas","Developing",69.8,4688.538443,12.9
"Belize","Americas","Developing",69.4,4673.63848,12.5
"Belize","Americas","Developing",69.4,4516.24675,12.4
"Belize","Americas","Developing",69.5,4344.15177,12.4
"Belize","Americas","Developing",69.5,4258.788611,12.7
"Belize","Americas","Developing",69.6,447.22796,12.8
"Belize","Americas","Developing",69.6,4324.876427,12.8
"Belize","Americas","Developing",69.4,4187.3783,12.3
"Belize","Americas","Developing",69,3933.332215,12.8
"Belize","Americas","Developing",68.7,3831.53819,12.5
"Belize","Americas","Developing",68.4,3679.99523,12.2
"Belize","Americas","Developing",68.5,3556.561825,11.9
"Belize","Americas","Developing",68.2,3419.275719,11.8
"Belize","Americas","Developing",68.3,3364.423711,11.7
"Benin","Africa","Developing",60,783.94791,10.7
"Benin","Africa","Developing",59.7,943.686575,10.7
"Benin","Africa","Developing",59.5,915.2674586,10.3
"Benin","Africa","Developing",59.3,837.9551,10
"Benin","Africa","Developing",59.1,825.9427854,9.8
"Benin","Africa","Developing",58.7,757.695974,9.5
"Benin","Africa","Developing",58.4,793.45243,9.3
"Benin","Africa","Developing",57.6,82.1513498,9.1
"Benin","Africa","Developing",57.1,76.535419,8.9
"Benin","Africa","Developing",56.8,625.8392,8.7
"Benin","Africa","Developing",56.5,61.799977,8.5
"Benin","Africa","Developing",56.1,583.493514,8.1
"Benin","Africa","Developing",55.8,519.2922847,7.7
"Benin","Africa","Developing",55.6,418.6985763,7.3
"Benin","Africa","Developing",55.5,378.73654,6.6
"Benin","Africa","Developing",55.4,374.1923942,6.4
"Bhutan","Asia","Developing",69.8,2613.645177,12.5
"Bhutan","Asia","Developing",69.4,2522.7968,12.5
"Bhutan","Asia","Developing",69.1,235.882889,12.6
"Bhutan","Asia","Developing",68.7,2422.816,12.3
"Bhutan","Asia","Developing",68.3,2458.45976,11.9
"Bhutan","Asia","Developing",67.9,2178.921383,11.4
"Bhutan","Asia","Developing",67.4,177.234497,10.9
"Bhutan","Asia","Developing",67,1795.18137,10.5
"Bhutan","Asia","Developing",66.5,1741.142552,10.1
"Bhutan","Asia","Developing",65.8,1335.45696,9.6
"Bhutan","Asia","Developing",65,1247.61392,9.2
"Bhutan","Asia","Developing",64.2,197.45788,8.8
"Bhutan","Asia","Developing",63.3,997.7417141,8.4
"Bhutan","Asia","Developing",62.5,885.6382245,8
"Bhutan","Asia","Developing",61.7,87.9387673,7.6
"Bhutan","Asia","Developing",62,765.8632358,7.3
"Bolivia (Plurinational State of)","Americas","Developing",77,NA,13.8
"Bolivia (Plurinational State of)","Americas","Developing",74,NA,13.8
"Bolivia (Plurinational State of)","Americas","Developing",71,NA,13.8
"Bolivia (Plurinational State of)","Americas","Developing",69.8,NA,13.8
"Bolivia (Plurinational State of)","Americas","Developing",69.3,NA,13.8
"Bolivia (Plurinational State of)","Americas","Developing",68.7,NA,13.8
"Bolivia (Plurinational State of)","Americas","Developing",68,NA,13.8
"Bolivia (Plurinational State of)","Americas","Developing",67.4,NA,14
"Bolivia (Plurinational State of)","Americas","Developing",66.8,NA,14.1
"Bolivia (Plurinational State of)","Americas","Developing",66.2,NA,14.3
"Bolivia (Plurinational State of)","Americas","Developing",65.7,NA,14.4
"Bolivia (Plurinational State of)","Americas","Developing",65.1,NA,14.6
"Bolivia (Plurinational State of)","Americas","Developing",64.5,NA,14.4
"Bolivia (Plurinational State of)","Americas","Developing",63.9,NA,14
"Bolivia (Plurinational State of)","Americas","Developing",63.3,NA,13.7
"Bolivia (Plurinational State of)","Americas","Developing",62.6,NA,13.3
"Bosnia and Herzegovina","Europe","Developing",77.4,4574.9787,14.2
"Bosnia and Herzegovina","Europe","Developing",77.2,5193.94932,14.2
"Bosnia and Herzegovina","Europe","Developing",77,535.86555,14.2
"Bosnia and Herzegovina","Europe","Developing",76.8,4716.673325,13.9
"Bosnia and Herzegovina","Europe","Developing",76.9,55.156834,13.4
"Bosnia and Herzegovina","Europe","Developing",76.4,4611.47298,13.3
"Bosnia and Herzegovina","Europe","Developing",76.1,4697.89732,13.3
"Bosnia and Herzegovina","Europe","Developing",76,575.31664,13.1
"Bosnia and Herzegovina","Europe","Developing",75.4,418.292176,12.9
"Bosnia and Herzegovina","Europe","Developing",75.7,344.321698,12.7
"Bosnia and Herzegovina","Europe","Developing",75,2968.41186,12.5
"Bosnia and Herzegovina","Europe","Developing",75.5,265.642661,12.3
"Bosnia and Herzegovina","Europe","Developing",75.2,2214.732246,12.1
"Bosnia and Herzegovina","Europe","Developing",75.4,1761.537647,11.9
"Bosnia and Herzegovina","Europe","Developing",74.9,1524.41222,11.6
"Bosnia and Herzegovina","Europe","Developing",74.6,1461.7552,0
"Botswana","Africa","Developing",65.7,6532.651,12.6
"Botswana","Africa","Developing",65.1,7497.762376,12.6
"Botswana","Africa","Developing",64.2,77.625783,12.6
"Botswana","Africa","Developing",63.4,729.231453,12.5
"Botswana","Africa","Developing",62.2,7645.21469,12.4
"Botswana","Africa","Developing",61.1,6346.15624,12.3
"Botswana","Africa","Developing",59.2,5185.729845,12.2
"Botswana","Africa","Developing",57.5,5623.379566,12.1
"Botswana","Africa","Developing",56.9,5714.47937,12.1
"Botswana","Africa","Developing",54.8,5374.554867,11.9
"Botswana","Africa","Developing",51.7,5351.253732,11.9
"Botswana","Africa","Developing",48.1,4896.583835,11.8
"Botswana","Africa","Developing",46.4,4163.6596,11.8
"Botswana","Africa","Developing",46,355.618382,11.9
"Botswana","Africa","Developing",46.7,3128.97793,11.8
"Botswana","Africa","Developing",47.8,3349.68823,11.7
"Brazil","Americas","Developing",75,8757.2622,15.2
"Brazil","Americas","Developing",74.8,1226.61731,15.2
"Brazil","Americas","Developing",74.7,12216.9446,14.2
"Brazil","Americas","Developing",74.5,12291.46685,14.2
"Brazil","Americas","Developing",74.1,13167.47289,14
"Brazil","Americas","Developing",73.8,11224.1548,13.8
"Brazil","Americas","Developing",73.6,8553.3847,13.8
"Brazil","Americas","Developing",73.4,8787.61375,13.3
"Brazil","Americas","Developing",73.3,7313.557962,13.5
"Brazil","Americas","Developing",73,586.145975,13.8
"Brazil","Americas","Developing",72.7,477.182746,13.8
"Brazil","Americas","Developing",72,3623.47667,14
"Brazil","Americas","Developing",71.8,359.587582,14.8
"Brazil","Americas","Developing",71.4,2819.649531,14.6
"Brazil","Americas","Developing",71,3146.95177,14.3
"Brazil","Americas","Developing",75,3739.11936,14.1
"Brunei Darussalam","Asia","Developing",77.7,3967.8951,14.9
"Brunei Darussalam","Asia","Developing",77.6,4159.8652,15
"Brunei Darussalam","Asia","Developing",77.1,44597.27968,14.9
"Brunei Darussalam","Asia","Developing",78.3,47651.2599,14.4
"Brunei Darussalam","Asia","Developing",77.4,4717.273,14.1
"Brunei Darussalam","Asia","Developing",76.9,35268.1117,14.2
"Brunei Darussalam","Asia","Developing",76.8,27965.4754,14.1
"Brunei Darussalam","Asia","Developing",77.2,37951.286,14.2
"Brunei Darussalam","Asia","Developing",76,32672.36717,14.3
"Brunei Darussalam","Asia","Developing",76.3,398.96692,14.3
"Brunei Darussalam","Asia","Developing",76.2,2612.13345,14.1
"Brunei Darussalam","Asia","Developing",76.4,21896.6527,13.7
"Brunei Darussalam","Asia","Developing",76,18555.56649,13.4
"Brunei Darussalam","Asia","Developing",74.8,16846.2198,13.3
"Brunei Darussalam","Asia","Developing",74.7,16468.12886,13.4
"Brunei Darussalam","Asia","Developing",74.4,188.44826,13.4
"Bulgaria","Europe","Developed",74.5,6993.47736,15
"Bulgaria","Europe","Developed",74.3,7853.335191,14.8
"Bulgaria","Europe","Developed",74.1,7674.86559,14.4
"Bulgaria","Europe","Developed",73.9,7378.25539,14.3
"Bulgaria","Europe","Developed",73.7,7813.83499,14.2
"Bulgaria","Europe","Developed",73.4,6843.263289,13.9
"Bulgaria","Europe","Developed",73.2,6955.987733,13.8
"Bulgaria","Europe","Developed",72.9,7296.122479,13.8
"Bulgaria","Europe","Developed",72.6,5932.899677,13.5
"Bulgaria","Europe","Developed",72.2,4513.13628,13.5
"Bulgaria","Europe","Developed",72.1,3893.68998,13.5
"Bulgaria","Europe","Developed",72.2,3381.57837,13.3
"Bulgaria","Europe","Developed",72,271.46824,12.9
"Bulgaria","Europe","Developed",71.8,287.534843,12.9
"Bulgaria","Europe","Developed",71.6,1764.97387,12.9
"Bulgaria","Europe","Developed",71.1,169.28586,12.9
"Burkina Faso","Africa","Developing",59.9,615.592225,7.7
"Burkina Faso","Africa","Developing",59.3,75.1464113,7.7
"Burkina Faso","Africa","Developing",59,699.452847,7.5
"Burkina Faso","Africa","Developing",58.6,673.8227,7.2
"Burkina Faso","Africa","Developing",58.1,666.842783,6.7
"Burkina Faso","Africa","Developing",57.5,575.4464527,6.3
"Burkina Faso","Africa","Developing",56.9,552.7455521,5.9
"Burkina Faso","Africa","Developing",56.1,569.7612784,5.4
"Burkina Faso","Africa","Developing",55.3,475.11122,4.9
"Burkina Faso","Africa","Developing",54.3,422.6332374,4.7
"Burkina Faso","Africa","Developing",53.3,46.998871,4.3
"Burkina Faso","Africa","Developing",52.4,371.323865,3.9
"Burkina Faso","Africa","Developing",51.6,332.344351,3.8
"Burkina Faso","Africa","Developing",51,26.7635413,3.6
"Burkina Faso","Africa","Developing",56,235.4912324,3.5
"Burkina Faso","Africa","Developing",51,226.4759814,3.4
"Burundi","Africa","Developing",59.6,33.681223,10.6
"Burundi","Africa","Developing",59.1,312.7489794,10.6
"Burundi","Africa","Developing",58.6,282.7555252,10.5
"Burundi","Africa","Developing",58,265.285651,10.3
"Burundi","Africa","Developing",57.4,26.479973,9.9
"Burundi","Africa","Developing",56.8,231.1943256,9.3
"Burundi","Africa","Developing",56.2,24.944652,8.6
"Burundi","Africa","Developing",55.3,196.2472628,7.9
"Burundi","Africa","Developing",54.8,17.79995,7.2
"Burundi","Africa","Developing",54.1,165.8794176,5.9
"Burundi","Africa","Developing",53.4,15.57434,5.6
"Burundi","Africa","Developing",52.6,127.4296648,5.2
"Burundi","Africa","Developing",51.9,112.849373,4.7
"Burundi","Africa","Developing",51.5,122.4335893,4.4
"Burundi","Africa","Developing",51.3,133.7427689,4.5
"Burundi","Africa","Developing",58,135.9984455,4.5
"Côte d'Ivoire","Africa","Developing",53.3,NA,NA
"Côte d'Ivoire","Africa","Developing",52.8,NA,NA
"Côte d'Ivoire","Africa","Developing",52.3,NA,NA
"Côte d'Ivoire","Africa","Developing",52,NA,NA
"Côte d'Ivoire","Africa","Developing",51.7,NA,NA
"Côte d'Ivoire","Africa","Developing",51.5,NA,NA
"Côte d'Ivoire","Africa","Developing",51,NA,NA
"Côte d'Ivoire","Africa","Developing",54,NA,NA
"Côte d'Ivoire","Africa","Developing",49.9,NA,NA
"Côte d'Ivoire","Africa","Developing",49.4,NA,NA
"Côte d'Ivoire","Africa","Developing",48.7,NA,NA
"Côte d'Ivoire","Africa","Developing",48.2,NA,NA
"Côte d'Ivoire","Africa","Developing",48,NA,NA
"Côte d'Ivoire","Africa","Developing",47.7,NA,NA
"Côte d'Ivoire","Africa","Developing",47.8,NA,NA
"Côte d'Ivoire","Africa","Developing",47.9,NA,NA
"Cabo Verde","Africa","Developing",73.3,2954.119467,13.5
"Cabo Verde","Africa","Developing",73,3529.61843,13.5
"Cabo Verde","Africa","Developing",72.8,3558.796314,13.6
"Cabo Verde","Africa","Developing",72.7,348.482762,13.2
"Cabo Verde","Africa","Developing",72.6,367.429453,13.1
"Cabo Verde","Africa","Developing",72.5,3312.825985,12.7
"Cabo Verde","Africa","Developing",72.4,3444.5566,12.4
"Cabo Verde","Africa","Developing",72.4,3638.95946,12.2
"Cabo Verde","Africa","Developing",72.3,3112.285712,11.9
"Cabo Verde","Africa","Developing",72.1,234.28992,11.9
"Cabo Verde","Africa","Developing",71.8,248.13459,11.2
"Cabo Verde","Africa","Developing",71.4,1976.45856,11.1
"Cabo Verde","Africa","Developing",71.1,1768.92132,11.3
"Cabo Verde","Africa","Developing",77,1373.515636,11.3
"Cabo Verde","Africa","Developing",73,1268.884564,11
"Cabo Verde","Africa","Developing",69.9,1239.377855,11.3
"Cambodia","Asia","Developing",68.7,1163.18977,10.9
"Cambodia","Asia","Developing",68.3,198.687123,10.9
"Cambodia","Asia","Developing",67.8,128.419568,10.8
"Cambodia","Asia","Developing",67.4,95.244132,10.7
"Cambodia","Asia","Developing",67,882.491462,10.7
"Cambodia","Asia","Developing",66.6,785.6928841,10.6
"Cambodia","Asia","Developing",66.1,738.2326684,10.5
"Cambodia","Asia","Developing",65.6,745.7877873,10.5
"Cambodia","Asia","Developing",65,631.675789,10.3
"Cambodia","Asia","Developing",64.1,539.8791529,10.1
"Cambodia","Asia","Developing",62.9,474.2238766,10
"Cambodia","Asia","Developing",61.5,48.615184,9.7
"Cambodia","Asia","Developing",63,362.4213785,9.3
"Cambodia","Asia","Developing",59.3,339.676984,8.2
"Cambodia","Asia","Developing",58.5,321.22634,7.6
"Cambodia","Asia","Developing",57.7,3.685949,7.2
"Cameroon","Africa","Developing",57.3,1244.429421,10.4
"Cameroon","Africa","Developing",56.7,1441.1417,10.4
"Cameroon","Africa","Developing",56.4,1365.34419,10.4
"Cameroon","Africa","Developing",55.9,1255.648189,10.4
"Cameroon","Africa","Developing",55.6,1295.649726,10
"Cameroon","Africa","Developing",55.3,1182.869227,9.7
"Cameroon","Africa","Developing",54.8,123.19538,9.2
"Cameroon","Africa","Developing",54.2,1233.524316,8.8
